Video_ID,Number_frames,Label,Split_type
632youtube,101,0,Train
680youtube,101,0,Train
239youtube,101,0,Train
727youtube,101,0,Train
647Deepfakes,101,1,Train
803Deepfakes,101,1,Train
956youtube,101,0,Train
09_26__walking_down_street_outside_angry__QSE5A0GF_deepfakedetection,101,1,Train
622FaceShifter,101,1,Train
714youtube,101,0,Train
501FaceShifter,101,1,Train
397youtube,101,0,Train
037FaceShifter,101,1,Train
023youtube,101,0,Train
009FaceShifter,101,1,Train
676Deepfakes,101,1,Train
439FaceShifter,101,1,Train
822FaceSwap,101,1,Train
696FaceShifter,101,1,Train
065youtube,101,0,Train
22_10__walking_down_indoor_hall_disgust__8YQ2EUQP_deepfakedetection,101,1,Train
01__walking_outside_cafe_disgusted_actors,101,0,Train
921youtube,101,0,Train
956Deepfakes,101,1,Train
332youtube,101,0,Train
809FaceShifter,101,1,Train
712Deepfakes,101,1,Train
478youtube,101,0,Train
042youtube,101,0,Train
02__kitchen_still_actors,101,0,Train
202FaceShifter,101,1,Train
626Deepfakes,101,1,Train
714Deepfakes,101,1,Train
280youtube,101,0,Train
690FaceSwap,101,1,Train
994youtube,101,0,Train
404Face2Face,101,1,Train
622youtube,101,0,Train
570youtube,101,0,Train
779youtube,101,0,Train
483Deepfakes,101,1,Train
257Deepfakes,101,1,Train
005Deepfakes,101,1,Train
03_15__podium_speech_happy__OY4I7ZU8_deepfakedetection,101,1,Train
23__kitchen_still_actors,101,0,Train
26__walk_down_hall_angry_actors,101,0,Train
953Face2Face,101,1,Train
157youtube,102,0,Train
959youtube,101,0,Train
094Deepfakes,101,1,Train
170Deepfakes,98,1,Train
26_04__talking_against_wall__WX836VLY_deepfakedetection,101,1,Train
07__talking_against_wall_actors,101,0,Train
23__outside_talking_still_laughing_actors,101,0,Train
349youtube,101,0,Train
361youtube,101,0,Train
094youtube,101,0,Train
828Deepfakes,101,1,Train
205youtube,101,0,Train
506youtube,101,0,Train
071Deepfakes,101,1,Train
013youtube,100,0,Train
112youtube,101,0,Train
669Deepfakes,101,1,Train
628youtube,101,0,Train
667youtube,101,0,Train
221youtube,101,0,Train
22__walk_down_hall_angry_actors,101,0,Train
502Deepfakes,101,1,Train
24__walking_down_street_outside_angry_actors,101,0,Train
982FaceShifter,101,1,Train
518Deepfakes,101,1,Train
313FaceSwap,101,1,Train
019FaceSwap,101,1,Train
597youtube,101,0,Train
073Deepfakes,101,1,Train
943youtube,101,0,Train
783Deepfakes,101,1,Train
21__walking_outside_cafe_disgusted_actors,101,0,Train
957youtube,101,0,Train
040Deepfakes,101,1,Train
354FaceSwap,101,1,Train
260Deepfakes,101,1,Train
754Face2Face,101,1,Train
357youtube,101,0,Train
119youtube,101,0,Train
20__outside_talking_still_laughing_actors,101,0,Train
203Deepfakes,101,1,Train
190youtube,101,0,Train
13__walking_down_indoor_hall_disgust_actors,101,0,Train
437youtube,101,0,Train
654Deepfakes,101,1,Train
22__secret_conversation_actors,101,0,Train
345youtube,101,0,Train
754Face2Face,101,1,Train
188FaceShifter,101,1,Train
291youtube,101,0,Train
345youtube,101,0,Train
446youtube,101,0,Train
769youtube,101,0,Train
19_24__exit_phone_room__QD5K7BP2_deepfakedetection,101,1,Train
096youtube,101,0,Train
421youtube,101,0,Train
03__walking_and_outside_surprised_actors,101,0,Train
943FaceSwap,101,1,Train
797youtube,102,0,Train
601Face2Face,101,1,Train
10_22__kitchen_still__8YQ2EUQP_deepfakedetection,101,1,Train
698Face2Face,101,1,Train
386Face2Face,101,1,Train
460youtube,101,0,Train
983youtube,101,0,Train
300youtube,102,0,Train
182Face2Face,101,1,Train
588youtube,101,0,Train
18_27__outside_talking_pan_laughing__NYHE8D0J_deepfakedetection,101,1,Train
460youtube,101,0,Train
743Face2Face,101,1,Train
443youtube,101,0,Train
456youtube,101,0,Train
714Deepfakes,101,1,Train
975FaceShifter,101,1,Train
406Deepfakes,101,1,Train
329youtube,101,0,Train
378youtube,101,0,Train
378FaceSwap,101,1,Train
25_20__walking_outside_cafe_disgusted__RSCD7KXO_deepfakedetection,101,1,Train
196youtube,101,0,Train
367youtube,101,0,Train
961Deepfakes,101,1,Train
05__podium_speech_happy_actors,101,0,Train
013Deepfakes,101,1,Train
593youtube,102,0,Train
692youtube,101,0,Train
405Face2Face,101,1,Train
813FaceSwap,101,1,Train
14_15__exit_phone_room__OMLZILK3_deepfakedetection,101,1,Train
241youtube,101,0,Train
059youtube,101,0,Train
01__walking_and_outside_surprised_actors,101,0,Train
733youtube,101,0,Train
02_27__walking_and_outside_surprised__QW05XUUZ_deepfakedetection,101,1,Train
959youtube,101,0,Train
856Deepfakes,101,1,Train
916Face2Face,101,1,Train
405youtube,101,0,Train
27__podium_speech_happy_actors,61,0,Train
899youtube,101,0,Train
858FaceSwap,101,1,Train
15__hugging_happy_actors,101,0,Train
872FaceShifter,101,1,Train
559youtube,101,0,Train
975FaceShifter,101,1,Train
682youtube,101,0,Train
407FaceShifter,101,1,Train
016youtube,101,0,Train
929Deepfakes,101,1,Train
430Deepfakes,101,1,Train
394Face2Face,101,1,Train
457youtube,101,0,Train
