,Video_ID,Label,Frame_ID,Dataset,Train
590,00690,0,youtube_00690_4.jpg,youtube,1.0
429,09950,0,youtube_09950_3.jpg,youtube,1.0
1269,10710,0,youtube_10710_2.jpg,youtube,1.0
4381,13480,1,deepfakedetection_13480.jpg,deepfakedetection,1.0
2380,09230,0,youtube_09230_2.jpg,youtube,1.0
35,07710,0,actors_07710_3.jpg,actors,1.0
926,06410,0,youtube_06410.jpg,youtube,1.0
5885,12760,1,Deepfakes_12760_2.jpg,Deepfakes,1.0
5393,08530,1,FaceShifter_08530.jpg,FaceShifter,1.0
1707,03030,0,actors_03030.jpg,actors,1.0
2249,02200,0,youtube_02200_5.jpg,youtube,1.0
5246,00960,1,Deepfakes_00960_5.jpg,Deepfakes,1.0
3412,00660,1,deepfakedetection_00660.jpg,deepfakedetection,1.0
4456,04110,1,Face2Face_04110_2.jpg,Face2Face,1.0
2766,17040,0,youtube_17040.jpg,youtube,1.0
2152,11910,0,youtube_11910_5.jpg,youtube,1.0
3915,10670,1,Deepfakes_10670_3.jpg,Deepfakes,1.0
5142,06390,1,Face2Face_06390_3.jpg,Face2Face,1.0
976,06820,0,youtube_06820_7.jpg,youtube,1.0
4492,12360,1,Deepfakes_12360.jpg,Deepfakes,1.0
5406,01260,1,Deepfakes_01260_6.jpg,Deepfakes,1.0
3081,03360,1,Face2Face_03360.jpg,Face2Face,1.0
4124,00470,1,Face2Face_00470_5.jpg,Face2Face,1.0
1899,08600,0,youtube_08600_2.jpg,youtube,1.0
1433,04840,0,actors_04840_2.jpg,actors,1.0
2886,14370,0,actors_14370_2.jpg,actors,1.0
2218,11600,0,actors_11600.jpg,actors,1.0
3280,06450,1,Deepfakes_06450_2.jpg,Deepfakes,1.0
695,05900,0,youtube_05900_6.jpg,youtube,1.0
1941,05280,0,actors_05280_2.jpg,actors,1.0
3819,14820,1,Face2Face_14820.jpg,Face2Face,1.0
1581,12220,0,actors_12220_2.jpg,actors,1.0
5727,12790,1,Deepfakes_12790_4.jpg,Deepfakes,1.0
5450,04300,1,Deepfakes_04300_7.jpg,Deepfakes,1.0
367,02330,0,actors_02330_3.jpg,actors,1.0
5482,01830,1,Face2Face_01830_3.jpg,Face2Face,1.0
514,05910,0,youtube_05910.jpg,youtube,1.0
2329,04700,0,youtube_04700.jpg,youtube,1.0
4434,05220,1,FaceShifter_05220.jpg,FaceShifter,1.0
352,06520,0,youtube_06520_2.jpg,youtube,1.0
4328,01530,1,Deepfakes_01530_5.jpg,Deepfakes,1.0
4586,00960,1,Deepfakes_00960_4.jpg,Deepfakes,1.0
5137,04120,1,Face2Face_04120.jpg,Face2Face,1.0
3530,05960,1,deepfakedetection_05960.jpg,deepfakedetection,1.0
1616,14990,0,actors_14990_2.jpg,actors,1.0
231,02270,0,youtube_02270_6.jpg,youtube,1.0
5043,07850,1,FaceShifter_07850.jpg,FaceShifter,1.0
89,14040,0,youtube_14040_4.jpg,youtube,1.0
1585,10320,0,youtube_10320.jpg,youtube,1.0
3219,05830,1,Deepfakes_05830.jpg,Deepfakes,1.0
2866,10790,0,actors_10790_3.jpg,actors,1.0
751,01880,0,youtube_01880_3.jpg,youtube,1.0
2977,05050,0,youtube_05050_5.jpg,youtube,1.0
4942,12220,1,Deepfakes_12220.jpg,Deepfakes,1.0
60,05850,0,youtube_05850_8.jpg,youtube,1.0
354,00110,0,actors_00110_3.jpg,actors,1.0
1638,06890,0,youtube_06890_6.jpg,youtube,1.0
